scientificName	year	month	day	decimalLatitude	decimalLongitude	url	kingdom	phylum	class	order	family	genus	vernacularName	country
Latrodectus geometricus	2018.0	9.0	5.0	25.838715	-100.204402	https://inaturalist-open-data.s3.amazonaws.com/photos/99353780/original.jpg	Animalia	Arthropoda	Arachnida	Araneae	Theridiidae	Latrodectus	"['brown widow spider'#'brown widow'#'brown buttonspider'#'brown button spider'#'brown button']"	Mexico
Steatoda grossa	2023.0	3.0	19.0	48.850697	2.648446	https://inaturalist-open-data.s3.amazonaws.com/photos/262005343/original.jpeg	Animalia	Arthropoda	Arachnida	Araneae	Theridiidae	Steatoda	"['brown house spider'#'house cobweb spider'#'dark comb-footed spider'#'large cupboard spider'#'false black widow'#'cupboard spider']"	France
Zosis geniculata	2023.0	10.0	21.0	-22.965164	-43.238047	https://inaturalist-open-data.s3.amazonaws.com/photos/329828540/original.jpg	Animalia	Arthropoda	Arachnida	Araneae	Uloboridae	Zosis	"['banded-knees house spider'#'feather-legged spider'#'ninja-star ceiling spider']"	Brazil
Araneus diadematus	2022.0	8.0	29.0	52.516042	-2.077745	https://inaturalist-open-data.s3.amazonaws.com/photos/226116270/original.jpeg	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Araneus	"['european garden spider'#'diadem spider'#'cross'#'bweaver'#'cross spider']"	United Kingdom
Nephilingis cruentata	2007.0	7.0	4.0	-28.364916	31.390044	https://inaturalist-open-data.s3.amazonaws.com/photos/291970643/original.jpg	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Nephilingis	['african hermit spider']	South Africa
Argiope aurantia	2021.0	9.0	24.0	37.667567	-77.810364	https://inaturalist-open-data.s3.amazonaws.com/photos/159760835/original.jpg	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Argiope	"['golden argiope'#'black-and-yellow garden spider'#'yellow garden'#'bweaver'#'black-and-yellow argiope'#'yellow garden spider'#'writing spider']"	United States
Argiope aurantia	2023.0	8.0	23.0	44.274268	-69.798498	https://inaturalist-open-data.s3.amazonaws.com/photos/313859968/original.jpg	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Argiope	"['golden argiope'#'black-and-yellow garden spider'#'yellow garden'#'bweaver'#'black-and-yellow argiope'#'yellow garden spider'#'writing spider']"	United States
Scytodes thoracica	2023.0	5.0	17.0	45.1827	10.776795	https://inaturalist-open-data.s3.amazonaws.com/photos/280338649/original.jpg	Animalia	Arthropoda	Arachnida	Araneae	Scytodidae	Scytodes	"['common spitting spider'#'spitting spider']"	Italy
Nephilingis cruentata	2023.0	6.0	15.0	-23.564931	-46.730208	https://inaturalist-open-data.s3.amazonaws.com/photos/291913437/original.jpg	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Nephilingis	['african hermit spider']	Brazil
Neoscona crucifera	2023.0	10.0	20.0	34.924607	-86.807559	https://inaturalist-open-data.s3.amazonaws.com/photos/329547201/original.jpg	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Neoscona	"[""hentz's""#'bweaver'#'spotted'#'bweaver'#'barn spider']"	United States
Neoscona crucifera	2023.0	7.0	5.0	33.73282	-117.823023	https://inaturalist-open-data.s3.amazonaws.com/photos/297284882/original.jpg	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Neoscona	"[""hentz's""#'bweaver'#'spotted'#'bweaver'#'barn spider']"	United States
Steatoda nobilis	2021.0	10.0	11.0	36.727839	-4.064989	https://inaturalist-open-data.s3.amazonaws.com/photos/162946280/original.jpeg	Animalia	Arthropoda	Arachnida	Araneae	Theridiidae	Steatoda	['noble false widow']	Spain
Holocnemus pluchei	2024.0	5.0	24.0	40.891623	22.914442	https://inaturalist-open-data.s3.amazonaws.com/photos/385490556/original.jpg	Animalia	Arthropoda	Arachnida	Araneae	Pholcidae	Holocnemus	['marbled cellar spider']	Greece
