,precision,recall,f1-score,support
Adalia bipunctata,0.4166666666666667,0.3333333333333333,0.37037037037037035,15.0
Adalia decempunctata,0.5555555555555556,0.3333333333333333,0.4166666666666667,15.0
Amanita aprica,0.6666666666666666,0.6666666666666666,0.6666666666666666,15.0
Amanita augusta,0.8666666666666667,0.8666666666666667,0.8666666666666667,15.0
Amanita basii,0.6,0.8,0.6857142857142857,15.0
Amanita caesarea,0.9090909090909091,0.6666666666666666,0.7692307692307693,15.0
Amanita citrina,0.35,0.4666666666666667,0.4,15.0
Amanita cokeri,0.6,0.4,0.48,15.0
Amanita crenulata,0.5555555555555556,0.6666666666666666,0.6060606060606061,15.0
Amanita flavoconia,0.8333333333333334,0.3333333333333333,0.47619047619047616,15.0
Amanita flavorubens,0.5333333333333333,0.5333333333333333,0.5333333333333333,15.0
Amanita frostiana,0.5882352941176471,0.6666666666666666,0.625,15.0
Amanita jacksonii,0.4166666666666667,0.35714285714285715,0.38461538461538464,14.0
Amanita muscaria,0.7857142857142857,0.7333333333333333,0.7586206896551724,15.0
Amanita pantherina,0.625,0.3333333333333333,0.43478260869565216,15.0
Amanita pantherinoides,0.5882352941176471,0.6666666666666666,0.625,15.0
Amanita parcivolvata,0.47368421052631576,0.6,0.5294117647058824,15.0
Amanita persicina,0.625,0.6666666666666666,0.6451612903225806,15.0
Amanita regalis,0.9,0.6,0.72,15.0
Amanita rubescens,0.30434782608695654,0.4666666666666667,0.3684210526315789,15.0
Amanita velatipes,0.6111111111111112,0.7333333333333333,0.6666666666666666,15.0
Amanita wellsii,0.6,0.4,0.48,15.0
Amanita xanthocephala,0.8461538461538461,0.7333333333333333,0.7857142857142857,15.0
Anguis fragilis,0.6,0.8,0.6857142857142857,15.0
Aphanostephus ramosissimus,0.8181818181818182,0.6,0.6923076923076923,15.0
Araneus diadematus,0.3076923076923077,0.26666666666666666,0.2857142857142857,15.0
Araneus pegnia,0.75,0.42857142857142855,0.5454545454545454,14.0
Arctotis acaulis,0.875,0.9333333333333333,0.9032258064516129,15.0
Argiope aurantia,0.5384615384615384,0.4666666666666667,0.5,15.0
Arianta arbustorum,0.375,0.4,0.3870967741935484,15.0
Bellis annua,0.9,0.6,0.72,15.0
Bellis perennis,0.3333333333333333,0.5333333333333333,0.41025641025641024,15.0
Bellis sylvestris,0.5833333333333334,0.4666666666666667,0.5185185185185185,15.0
Bidens alba,0.8,0.5333333333333333,0.64,15.0
Brachyscome decipiens,1.0,1.0,1.0,15.0
Bradybaena similaris,0.4,0.5333333333333333,0.45714285714285713,15.0
Cantareus apertus,0.6428571428571429,0.6,0.6206896551724138,15.0
Cepaea hortensis,0.6666666666666666,0.4,0.5,15.0
Cepaea nemoralis,0.34615384615384615,0.6,0.43902439024390244,15.0
Cheilomenes sexmaculata,0.5294117647058824,0.6,0.5625,15.0
Chilocorus cacti,0.47619047619047616,0.6666666666666666,0.5555555555555556,15.0
Chilocorus renipustulatus,0.5833333333333334,0.9333333333333333,0.717948717948718,15.0
Chondestes grammacus,0.5,0.4666666666666667,0.4827586206896552,15.0
Coccinella septempunctata,0.26666666666666666,0.26666666666666666,0.26666666666666666,15.0
Coccinella transversalis,0.7,0.4666666666666667,0.56,15.0
Coccinella undecimpunctata,0.5263157894736842,0.6666666666666666,0.5882352941176471,15.0
Coelophora inaequalis,0.5833333333333334,0.4666666666666667,0.5185185185185185,15.0
Cornu aspersum,0.42857142857142855,0.4,0.41379310344827586,15.0
Cryptachaea gigantipes,0.7777777777777778,0.4666666666666667,0.5833333333333334,15.0
Cryptachaea veruculata,0.5882352941176471,0.6666666666666666,0.625,15.0
Cycloneda munda,0.7222222222222222,0.8666666666666667,0.7878787878787878,15.0
Cycloneda polita,0.6666666666666666,0.6666666666666666,0.6666666666666666,15.0
Cycloneda sanguinea,0.625,0.6666666666666666,0.6451612903225806,15.0
Darevskia praticola,0.9090909090909091,0.6666666666666666,0.7692307692307693,15.0
Eobania vermiculata,0.38095238095238093,0.5333333333333333,0.4444444444444444,15.0
Epilachna borealis,0.6153846153846154,0.5333333333333333,0.5714285714285714,15.0
Erigeron annuus,0.4444444444444444,0.26666666666666666,0.3333333333333333,15.0
Erigeron coulteri,0.7692307692307693,0.6666666666666666,0.7142857142857143,15.0
Erigeron glaucus,0.7333333333333333,0.7333333333333333,0.7333333333333333,15.0
Erigeron karvinskianus,0.4,0.26666666666666666,0.32,15.0
Erigeron peregrinus,0.5555555555555556,0.6666666666666666,0.6060606060606061,15.0
Erigeron philadelphicus,0.42857142857142855,0.2,0.2727272727272727,15.0
Erigeron pulchellus,0.6428571428571429,0.6,0.6206896551724138,15.0
Erigeron strigosus,0.18,0.6,0.27692307692307694,15.0
Fringilla coelebs,0.6153846153846154,0.5333333333333333,0.5714285714285714,15.0
Fruticicola fruticum,0.3888888888888889,0.4666666666666667,0.42424242424242425,15.0
Gallotia galloti,0.8333333333333334,1.0,0.9090909090909091,15.0
Gomphrena globosa,0.7894736842105263,1.0,0.8823529411764706,15.0
Haemorhous mexicanus,0.5,0.26666666666666666,0.34782608695652173,15.0
Harmonia axyridis,0.14285714285714285,0.06666666666666667,0.09090909090909091,15.0
Harmonia conformis,0.7692307692307693,0.6666666666666666,0.7142857142857143,15.0
Harmonia quadripunctata,0.6,0.6,0.6,15.0
Helicina orbiculata,0.8,0.8,0.8,15.0
Helix lucorum,0.7777777777777778,0.4666666666666667,0.5833333333333334,15.0
Helix pomatia,0.6666666666666666,0.8,0.7272727272727273,15.0
Helminthoglypta nickliniana,0.6666666666666666,0.9333333333333333,0.7777777777777778,15.0
Helminthoglypta tudiculata,0.5652173913043478,0.8666666666666667,0.6842105263157895,15.0
Henosepilachna vigintioctopunctata,0.7222222222222222,0.8666666666666667,0.7878787878787878,15.0
Hippodamia convergens,0.6153846153846154,0.5333333333333333,0.5714285714285714,15.0
Hippodamia tredecimpunctata,0.6666666666666666,0.4,0.5,15.0
Hippodamia variegata,0.15789473684210525,0.2,0.17647058823529413,15.0
Holocnemus pluchei,0.4375,0.4666666666666667,0.45161290322580644,15.0
Hygromia cinctella,0.42857142857142855,0.6,0.5,15.0
Junco hyemalis,0.5,0.3333333333333333,0.4,15.0
Lacerta agilis,0.42105263157894735,0.5333333333333333,0.47058823529411764,15.0
Lacerta bilineata,0.42857142857142855,0.4,0.41379310344827586,15.0
Lacerta viridis,0.75,0.4,0.5217391304347826,15.0
Lampropholis delicata,0.8571428571428571,0.8,0.8275862068965517,15.0
Larinioides cornutus,0.6666666666666666,0.26666666666666666,0.38095238095238093,15.0
Larinioides sclopetarius,0.42857142857142855,0.4,0.41379310344827586,15.0
Latrodectus geometricus,0.47058823529411764,0.5333333333333333,0.5,15.0
Leratiomyces ceres,0.75,0.6,0.6666666666666666,15.0
Leucanthemum maximum,0.42857142857142855,0.4,0.41379310344827586,15.0
Leucanthemum vulgare,0.26666666666666666,0.26666666666666666,0.26666666666666666,15.0
Lissachatina fulica,0.5714285714285714,0.5333333333333333,0.5517241379310345,15.0
Lygodactylus capensis,0.625,0.3333333333333333,0.43478260869565216,15.0
Matricaria chamomilla,0.6923076923076923,0.6,0.6428571428571429,15.0
Melospiza melodia,0.23076923076923078,0.2,0.21428571428571427,15.0
Mimetus puritanus,0.5,0.5333333333333333,0.5161290322580645,15.0
Mimus polyglottos,0.42105263157894735,0.5333333333333333,0.47058823529411764,15.0
Monacha cantiana,0.5,0.4666666666666667,0.4827586206896552,15.0
Neoscona crucifera,0.5333333333333333,0.5333333333333333,0.5333333333333333,15.0
Nephilingis cruentata,0.7777777777777778,0.4666666666666667,0.5833333333333334,15.0
Nesticodes rufipes,0.6428571428571429,0.6,0.6206896551724138,15.0
Oecobius navus,1.0,0.3333333333333333,0.5,15.0
Oligosoma polychroma,0.7857142857142857,0.7333333333333333,0.7586206896551724,15.0
Olla v-nigrum,0.5263157894736842,0.6666666666666666,0.5882352941176471,15.0
Otala lactea,0.5384615384615384,0.4666666666666667,0.5,15.0
Otala punctata,0.6666666666666666,0.8,0.7272727272727273,15.0
Parasteatoda tepidariorum,0.06666666666666667,0.06666666666666667,0.06666666666666667,15.0
Passer domesticus,0.12,0.2,0.15,15.0
Passer hispaniolensis,0.45454545454545453,0.3333333333333333,0.38461538461538464,15.0
Passer italiae,0.6470588235294118,0.7333333333333333,0.6875,15.0
Passer melanurus,0.7333333333333333,0.7333333333333333,0.7333333333333333,15.0
Passer montanus,0.3333333333333333,0.13333333333333333,0.19047619047619047,15.0
Petronia petronia,0.875,0.4666666666666667,0.6086956521739131,15.0
Pholcus phalangioides,0.3076923076923077,0.5333333333333333,0.3902439024390244,15.0
Plestiodon fasciatus,0.45454545454545453,0.6666666666666666,0.5405405405405406,15.0
Podarcis bocagei,0.9230769230769231,0.8,0.8571428571428571,15.0
Podarcis muralis,0.16666666666666666,0.3333333333333333,0.2222222222222222,15.0
Podarcis siculus,0.6,0.4,0.48,15.0
Poecile atricapillus,0.32142857142857145,0.6,0.4186046511627907,15.0
Poecile carolinensis,0.6666666666666666,0.5333333333333333,0.5925925925925926,15.0
Prunella modularis,0.6363636363636364,0.4666666666666667,0.5384615384615384,15.0
Psammodromus algirus,0.5,0.4666666666666667,0.4827586206896552,15.0
Psyllobora vigintiduopunctata,0.9375,1.0,0.967741935483871,15.0
Rumina decollata,0.9090909090909091,0.6666666666666666,0.7692307692307693,15.0
Russula sanguinea,0.6,0.8,0.6857142857142857,15.0
Scytodes thoracica,0.5,0.5333333333333333,0.5161290322580645,15.0
Spizella passerina,0.17391304347826086,0.26666666666666666,0.21052631578947367,15.0
Spizella pusilla,0.2894736842105263,0.7333333333333333,0.41509433962264153,15.0
Spizelloides arborea,0.5333333333333333,0.5333333333333333,0.5333333333333333,15.0
Steatoda grossa,0.2857142857142857,0.5333333333333333,0.37209302325581395,15.0
Steatoda nobilis,0.3,0.4,0.34285714285714286,15.0
Steatoda triangulosa,0.25,0.13333333333333333,0.17391304347826086,15.0
Sturnus vulgaris,0.4782608695652174,0.7333333333333333,0.5789473684210527,15.0
Subcoccinella vigintiquatuorpunctata,0.5909090909090909,0.8666666666666667,0.7027027027027027,15.0
Takydromus amurensis,1.0,0.8,0.8888888888888888,15.0
Tanacetum parthenium,1.0,0.6,0.75,15.0
Teira dugesii,1.0,0.8666666666666667,0.9285714285714286,15.0
Theba pisana,0.5714285714285714,0.5333333333333333,0.5517241379310345,15.0
Thryothorus ludovicianus,0.6666666666666666,0.6666666666666666,0.6666666666666666,15.0
Trifolium pratense,0.5833333333333334,0.4666666666666667,0.5185185185185185,15.0
Trifolium repens,0.5714285714285714,0.5333333333333333,0.5517241379310345,15.0
Tripleurospermum inodorum,0.5333333333333333,0.5333333333333333,0.5333333333333333,15.0
Turdus migratorius,0.45454545454545453,0.3333333333333333,0.38461538461538464,15.0
Uta stansburiana,0.7142857142857143,0.3333333333333333,0.45454545454545453,15.0
Xerarionta stearnsiana,0.7,0.4666666666666667,0.56,15.0
Xeroplexa intersecta,0.42857142857142855,0.4,0.41379310344827586,15.0
Xerotricha conspurcata,0.7777777777777778,0.4666666666666667,0.5833333333333334,15.0
Zachrysia provisoria,0.6111111111111112,0.7333333333333333,0.6666666666666666,15.0
Zonotrichia albicollis,0.5384615384615384,0.4666666666666667,0.5,15.0
Zonotrichia atricapilla,0.4117647058823529,0.4666666666666667,0.4375,15.0
Zonotrichia capensis,1.0,0.7333333333333333,0.8461538461538461,15.0
Zonotrichia leucophrys,0.5714285714285714,0.5333333333333333,0.5517241379310345,15.0
Zootoca vivipara,0.7333333333333333,0.7333333333333333,0.7333333333333333,15.0
Zosis geniculata,0.7,0.4666666666666667,0.56,15.0
Zygiella x-notata,0.25,0.07142857142857142,0.1111111111111111,14.0
accuracy,0.5466835656949726,0.5466835656949726,0.5466835656949726,0.5466835656949726
macro avg,0.581114799466461,0.5463532248342375,0.5477250831678249,2367.0
weighted avg,0.5812528128723472,0.5466835656949726,0.5479794110969851,2367.0
