,precision,recall,f1-score,support
Adalia bipunctata,0.75,0.4,0.5217391304347827,15.0
Adalia decempunctata,0.36363636363636365,0.26666666666666666,0.30769230769230765,15.0
Amanita aprica,0.4666666666666667,0.4666666666666667,0.4666666666666667,15.0
Amanita augusta,0.5,0.3333333333333333,0.4,15.0
Amanita basii,0.7857142857142857,0.7333333333333333,0.7586206896551724,15.0
Amanita caesarea,0.8,0.5333333333333333,0.64,15.0
Amanita citrina,0.7142857142857143,0.3333333333333333,0.4545454545454545,15.0
Amanita cokeri,0.8333333333333334,0.6666666666666666,0.7407407407407408,15.0
Amanita crenulata,0.42857142857142855,0.6,0.5,15.0
Amanita flavoconia,0.6428571428571429,0.6,0.6206896551724138,15.0
Amanita flavorubens,0.6666666666666666,0.4,0.5,15.0
Amanita frostiana,0.625,0.6666666666666666,0.6451612903225806,15.0
Amanita jacksonii,0.8,0.8,0.8000000000000002,15.0
Amanita muscaria,0.9,0.6,0.7200000000000001,15.0
Amanita pantherina,0.6666666666666666,0.13333333333333333,0.2222222222222222,15.0
Amanita pantherinoides,0.55,0.7333333333333333,0.6285714285714286,15.0
Amanita parcivolvata,0.7692307692307693,0.6666666666666666,0.7142857142857142,15.0
Amanita persicina,0.5,0.6666666666666666,0.5714285714285715,15.0
Amanita regalis,0.7,0.9333333333333333,0.8,15.0
Amanita rubescens,0.7142857142857143,0.3333333333333333,0.4545454545454545,15.0
Amanita velatipes,0.5,0.6,0.5454545454545454,15.0
Amanita wellsii,0.48,0.8,0.6,15.0
Amanita xanthocephala,0.9375,1.0,0.967741935483871,15.0
Anguis fragilis,0.7,0.4666666666666667,0.56,15.0
Aphanostephus ramosissimus,0.6666666666666666,0.5333333333333333,0.5925925925925926,15.0
Araneus diadematus,0.75,0.2,0.31578947368421056,15.0
Araneus pegnia,0.5263157894736842,0.6666666666666666,0.5882352941176471,15.0
Arctotis acaulis,0.8333333333333334,1.0,0.9090909090909091,15.0
Argiope aurantia,0.7857142857142857,0.7333333333333333,0.7586206896551724,15.0
Arianta arbustorum,0.0,0.0,0.0,15.0
Bellis annua,0.5333333333333333,0.5333333333333333,0.5333333333333333,15.0
Bellis perennis,0.3333333333333333,0.3333333333333333,0.3333333333333333,15.0
Bellis sylvestris,0.5555555555555556,0.3333333333333333,0.4166666666666667,15.0
Bidens alba,0.7272727272727273,0.5333333333333333,0.6153846153846153,15.0
Brachyscome decipiens,0.875,0.9333333333333333,0.9032258064516129,15.0
Bradybaena similaris,0.3684210526315789,0.4666666666666667,0.4117647058823529,15.0
Cantareus apertus,0.5714285714285714,0.5333333333333333,0.5517241379310344,15.0
Cepaea hortensis,0.5294117647058824,0.6,0.5625,15.0
