,precision,recall,f1-score,support
Adalia bipunctata,0.5,0.4666666666666667,0.4827586206896552,15.0
Adalia decempunctata,0.6153846153846154,0.5333333333333333,0.5714285714285714,15.0
Amanita aprica,0.7333333333333333,0.7333333333333333,0.7333333333333333,15.0
Amanita augusta,0.8333333333333334,0.6666666666666666,0.7407407407407407,15.0
Amanita basii,0.875,0.9333333333333333,0.9032258064516129,15.0
Amanita caesarea,0.9090909090909091,0.6666666666666666,0.7692307692307693,15.0
Amanita citrina,0.5909090909090909,0.8666666666666667,0.7027027027027027,15.0
Amanita cokeri,0.8181818181818182,0.6,0.6923076923076923,15.0
Amanita crenulata,0.4074074074074074,0.7333333333333333,0.5238095238095238,15.0
Amanita flavoconia,0.7142857142857143,0.6666666666666666,0.6896551724137931,15.0
Amanita flavorubens,0.6153846153846154,0.5333333333333333,0.5714285714285714,15.0
Amanita frostiana,0.7692307692307693,0.6666666666666666,0.7142857142857143,15.0
Amanita jacksonii,0.6875,0.7857142857142857,0.7333333333333333,14.0
Amanita muscaria,1.0,0.8,0.8888888888888888,15.0
Amanita pantherina,0.6923076923076923,0.6,0.6428571428571429,15.0
Amanita pantherinoides,0.6666666666666666,0.9333333333333333,0.7777777777777778,15.0
Amanita parcivolvata,0.9166666666666666,0.7333333333333333,0.8148148148148148,15.0
Amanita persicina,0.8461538461538461,0.7333333333333333,0.7857142857142857,15.0
Amanita regalis,0.7058823529411765,0.8,0.75,15.0
Amanita rubescens,0.5714285714285714,0.26666666666666666,0.36363636363636365,15.0
Amanita velatipes,0.9090909090909091,0.6666666666666666,0.7692307692307693,15.0
Amanita wellsii,0.75,0.8,0.7741935483870968,15.0
Amanita xanthocephala,0.8823529411764706,1.0,0.9375,15.0
Anguis fragilis,0.6666666666666666,0.9333333333333333,0.7777777777777778,15.0
Aphanostephus ramosissimus,0.75,0.8,0.7741935483870968,15.0
Araneus diadematus,0.6666666666666666,0.5333333333333333,0.5925925925925926,15.0
Araneus pegnia,0.5833333333333334,0.5,0.5384615384615384,14.0
Arctotis acaulis,0.8333333333333334,1.0,0.9090909090909091,15.0
