,precision,recall,f1-score,support
Adalia bipunctata,0.5454545454545454,0.4,0.46153846153846156,15.0
Adalia decempunctata,0.6153846153846154,0.5333333333333333,0.5714285714285714,15.0
Amanita aprica,0.4,0.4,0.4,15.0
Amanita augusta,0.0,0.0,0.0,15.0
Amanita basii,0.6363636363636364,0.9333333333333333,0.7567567567567568,15.0
Amanita caesarea,0.7142857142857143,0.6666666666666666,0.6896551724137931,15.0
Amanita citrina,0.48148148148148145,0.8666666666666667,0.6190476190476191,15.0
Amanita cokeri,0.5789473684210527,0.7333333333333333,0.6470588235294118,15.0
Amanita crenulata,0.2916666666666667,0.4666666666666667,0.358974358974359,15.0
Amanita flavoconia,0.8181818181818182,0.6,0.6923076923076923,15.0
Amanita flavorubens,0.5,0.6666666666666666,0.5714285714285714,15.0
Amanita frostiana,0.7692307692307693,0.6666666666666666,0.7142857142857143,15.0
Amanita jacksonii,0.5625,0.6428571428571429,0.6,14.0
Amanita muscaria,0.8333333333333334,0.6666666666666666,0.7407407407407407,15.0
Amanita pantherina,0.7,0.4666666666666667,0.56,15.0
Amanita pantherinoides,0.8,0.5333333333333333,0.64,15.0
Amanita parcivolvata,0.5625,0.6,0.5806451612903226,15.0
Amanita persicina,0.35714285714285715,0.6666666666666666,0.46511627906976744,15.0
Amanita regalis,0.6470588235294118,0.7333333333333333,0.6875,15.0
Amanita rubescens,0.6,0.4,0.48,15.0
Amanita velatipes,0.75,0.6,0.6666666666666666,15.0
Amanita wellsii,0.6153846153846154,0.5333333333333333,0.5714285714285714,15.0
Amanita xanthocephala,0.875,0.9333333333333333,0.9032258064516129,15.0
Anguis fragilis,0.6086956521739131,0.9333333333333333,0.7368421052631579,15.0
Aphanostephus ramosissimus,0.34615384615384615,0.6,0.43902439024390244,15.0
Araneus diadematus,0.4,0.13333333333333333,0.2,15.0
Araneus pegnia,0.42857142857142855,0.21428571428571427,0.2857142857142857,14.0
Arctotis acaulis,0.5357142857142857,1.0,0.6976744186046512,15.0
Argiope aurantia,0.6666666666666666,0.6666666666666666,0.6666666666666666,15.0
Arianta arbustorum,0.4782608695652174,0.7333333333333333,0.5789473684210527,15.0
Bellis annua,0.4166666666666667,0.3333333333333333,0.37037037037037035,15.0
Bellis perennis,0.46153846153846156,0.4,0.42857142857142855,15.0
Bellis sylvestris,0.45454545454545453,0.6666666666666666,0.5405405405405406,15.0
Bidens alba,0.8,0.8,0.8,15.0
Brachyscome decipiens,0.6666666666666666,0.9333333333333333,0.7777777777777778,15.0
Bradybaena similaris,0.6666666666666666,0.5333333333333333,0.5925925925925926,15.0
Cantareus apertus,0.5333333333333333,0.5333333333333333,0.5333333333333333,15.0
Cepaea hortensis,0.5555555555555556,0.3333333333333333,0.4166666666666667,15.0
Cepaea nemoralis,0.4074074074074074,0.7333333333333333,0.5238095238095238,15.0
Cheilomenes sexmaculata,0.65,0.8666666666666667,0.7428571428571429,15.0
Chilocorus cacti,0.8666666666666667,0.8666666666666667,0.8666666666666667,15.0
Chilocorus renipustulatus,0.9285714285714286,0.8666666666666667,0.896551724137931,15.0
Chondestes grammacus,0.625,0.6666666666666666,0.6451612903225806,15.0
Coccinella septempunctata,0.4444444444444444,0.5333333333333333,0.48484848484848486,15.0
Coccinella transversalis,1.0,0.13333333333333333,0.23529411764705882,15.0
Coccinella undecimpunctata,0.7692307692307693,0.6666666666666666,0.7142857142857143,15.0
Coelophora inaequalis,0.5882352941176471,0.6666666666666666,0.625,15.0
Cornu aspersum,0.5555555555555556,0.3333333333333333,0.4166666666666667,15.0
Cryptachaea gigantipes,0.7857142857142857,0.7333333333333333,0.7586206896551724,15.0
Cryptachaea veruculata,0.7222222222222222,0.8666666666666667,0.7878787878787878,15.0
Cycloneda munda,0.5,0.8,0.6153846153846154,15.0
Cycloneda polita,0.5333333333333333,0.5333333333333333,0.5333333333333333,15.0
Cycloneda sanguinea,0.5,0.26666666666666666,0.34782608695652173,15.0
Darevskia praticola,0.25,0.3333333333333333,0.2857142857142857,15.0
Eobania vermiculata,0.6923076923076923,0.6,0.6428571428571429,15.0
Epilachna borealis,0.7222222222222222,0.8666666666666667,0.7878787878787878,15.0
Erigeron annuus,0.5714285714285714,0.26666666666666666,0.36363636363636365,15.0
Erigeron coulteri,0.39285714285714285,0.7333333333333333,0.5116279069767442,15.0
Erigeron glaucus,0.9090909090909091,0.6666666666666666,0.7692307692307693,15.0
