,precision,recall,f1-score,support
Adalia bipunctata,0.5555555555555556,0.3333333333333333,0.4166666666666667,15.0
Adalia decempunctata,0.47058823529411764,0.5333333333333333,0.5,15.0
Amanita aprica,0.4,0.4,0.4,15.0
Amanita augusta,0.6,0.4,0.48,15.0
Amanita basii,0.9333333333333333,0.9333333333333333,0.9333333333333333,15.0
Amanita caesarea,0.8461538461538461,0.7333333333333333,0.7857142857142857,15.0
Amanita citrina,0.6190476190476191,0.8666666666666667,0.7222222222222222,15.0
Amanita cokeri,0.7857142857142857,0.7333333333333333,0.7586206896551724,15.0
Amanita crenulata,0.3,0.4,0.34285714285714286,15.0
Amanita flavoconia,0.5714285714285714,0.5333333333333333,0.5517241379310345,15.0
Amanita flavorubens,0.7,0.4666666666666667,0.56,15.0
Amanita frostiana,0.6153846153846154,0.5333333333333333,0.5714285714285714,15.0
Amanita jacksonii,0.5882352941176471,0.7142857142857143,0.6451612903225806,14.0
Amanita muscaria,0.8333333333333334,0.6666666666666666,0.7407407407407407,15.0
Amanita pantherina,0.75,0.4,0.5217391304347826,15.0
Amanita pantherinoides,0.5294117647058824,0.6,0.5625,15.0
Amanita parcivolvata,0.625,0.6666666666666666,0.6451612903225806,15.0
Amanita persicina,0.5,0.7333333333333333,0.5945945945945946,15.0
Amanita regalis,0.6666666666666666,0.8,0.7272727272727273,15.0
Amanita rubescens,0.5714285714285714,0.26666666666666666,0.36363636363636365,15.0
Amanita velatipes,0.6,0.6,0.6,15.0
Amanita wellsii,0.7333333333333333,0.7333333333333333,0.7333333333333333,15.0
Amanita xanthocephala,1.0,1.0,1.0,15.0
Anguis fragilis,0.7368421052631579,0.9333333333333333,0.8235294117647058,15.0
Aphanostephus ramosissimus,0.5333333333333333,0.5333333333333333,0.5333333333333333,15.0
Araneus diadematus,0.45454545454545453,0.3333333333333333,0.38461538461538464,15.0
Araneus pegnia,0.75,0.42857142857142855,0.5454545454545454,14.0
Arctotis acaulis,0.8333333333333334,1.0,0.9090909090909091,15.0
Argiope aurantia,0.75,0.6,0.6666666666666666,15.0
Arianta arbustorum,0.6111111111111112,0.7333333333333333,0.6666666666666666,15.0
Bellis annua,0.6875,0.7333333333333333,0.7096774193548387,15.0
Bellis perennis,0.5555555555555556,0.3333333333333333,0.4166666666666667,15.0
Bellis sylvestris,0.7368421052631579,0.9333333333333333,0.8235294117647058,15.0
Bidens alba,0.6842105263157895,0.8666666666666667,0.7647058823529411,15.0
Brachyscome decipiens,0.7777777777777778,0.9333333333333333,0.8484848484848485,15.0
Bradybaena similaris,0.625,0.6666666666666666,0.6451612903225806,15.0
Cantareus apertus,0.6875,0.7333333333333333,0.7096774193548387,15.0
Cepaea hortensis,0.47058823529411764,0.5333333333333333,0.5,15.0
Cepaea nemoralis,0.5714285714285714,0.5333333333333333,0.5517241379310345,15.0
Cheilomenes sexmaculata,0.7647058823529411,0.8666666666666667,0.8125,15.0
Chilocorus cacti,0.5909090909090909,0.8666666666666667,0.7027027027027027,15.0
Chilocorus renipustulatus,0.8125,0.8666666666666667,0.8387096774193549,15.0
Chondestes grammacus,0.4090909090909091,0.6,0.4864864864864865,15.0
Coccinella septempunctata,0.46153846153846156,0.4,0.42857142857142855,15.0
Coccinella transversalis,0.6923076923076923,0.6,0.6428571428571429,15.0
Coccinella undecimpunctata,0.6470588235294118,0.7333333333333333,0.6875,15.0
Coelophora inaequalis,0.6428571428571429,0.6,0.6206896551724138,15.0
Cornu aspersum,0.8888888888888888,0.5333333333333333,0.6666666666666666,15.0
Cryptachaea gigantipes,0.8,0.8,0.8,15.0
Cryptachaea veruculata,0.7857142857142857,0.7333333333333333,0.7586206896551724,15.0
Cycloneda munda,0.5769230769230769,1.0,0.7317073170731707,15.0
Cycloneda polita,0.75,0.4,0.5217391304347826,15.0
Cycloneda sanguinea,0.5,0.4666666666666667,0.4827586206896552,15.0
Darevskia praticola,0.5217391304347826,0.8,0.631578947368421,15.0
Eobania vermiculata,0.8125,0.8666666666666667,0.8387096774193549,15.0
Epilachna borealis,0.7777777777777778,0.9333333333333333,0.8484848484848485,15.0
Erigeron annuus,0.4,0.26666666666666666,0.32,15.0
Erigeron coulteri,0.45,0.6,0.5142857142857142,15.0
Erigeron glaucus,0.7647058823529411,0.8666666666666667,0.8125,15.0
Erigeron karvinskianus,0.8333333333333334,0.6666666666666666,0.7407407407407407,15.0
Erigeron peregrinus,0.2916666666666667,0.4666666666666667,0.358974358974359,15.0
Erigeron philadelphicus,0.6666666666666666,0.26666666666666666,0.38095238095238093,15.0
Erigeron pulchellus,0.5454545454545454,0.4,0.46153846153846156,15.0
Erigeron strigosus,0.34782608695652173,0.5333333333333333,0.42105263157894735,15.0
Fringilla coelebs,0.631578947368421,0.8,0.7058823529411765,15.0
Fruticicola fruticum,0.7692307692307693,0.6666666666666666,0.7142857142857143,15.0
Gallotia galloti,0.6842105263157895,0.8666666666666667,0.7647058823529411,15.0
Gomphrena globosa,0.9285714285714286,0.8666666666666667,0.896551724137931,15.0
Haemorhous mexicanus,0.5294117647058824,0.6,0.5625,15.0
Harmonia axyridis,0.16666666666666666,0.06666666666666667,0.09523809523809523,15.0
Harmonia conformis,0.7058823529411765,0.8,0.75,15.0
Harmonia quadripunctata,0.6470588235294118,0.7333333333333333,0.6875,15.0
Helicina orbiculata,0.55,0.7333333333333333,0.6285714285714286,15.0
Helix lucorum,1.0,0.8,0.8888888888888888,15.0
Helix pomatia,0.8235294117647058,0.9333333333333333,0.875,15.0
Helminthoglypta nickliniana,0.375,0.2,0.2608695652173913,15.0
Helminthoglypta tudiculata,0.42857142857142855,0.6,0.5,15.0
Henosepilachna vigintioctopunctata,0.6666666666666666,0.8,0.7272727272727273,15.0
Hippodamia convergens,0.4117647058823529,0.4666666666666667,0.4375,15.0
Hippodamia tredecimpunctata,0.75,0.6,0.6666666666666666,15.0
Hippodamia variegata,0.5833333333333334,0.4666666666666667,0.5185185185185185,15.0
Holocnemus pluchei,0.5625,0.6,0.5806451612903226,15.0
Hygromia cinctella,0.55,0.7333333333333333,0.6285714285714286,15.0
Junco hyemalis,0.5,0.5333333333333333,0.5161290322580645,15.0
Lacerta agilis,0.5,0.6,0.5454545454545454,15.0
Lacerta bilineata,0.6111111111111112,0.7333333333333333,0.6666666666666666,15.0
Lacerta viridis,0.6428571428571429,0.6,0.6206896551724138,15.0
Lampropholis delicata,0.8461538461538461,0.7333333333333333,0.7857142857142857,15.0
Larinioides cornutus,0.5,0.4,0.4444444444444444,15.0
